"filename", "language", "JSON with Comments", "TypeScript React", "TypeScript", "SVG", "JSON", "Markdown", "Ignore", "CSS", "comment", "blank", "total"
"/Users/claygiffin/Documents/@the-door/packages/common/src/components/VideoStreamPlayer.tsx", "TypeScript React", 0, 65, 0, 0, 0, 0, 0, 0, 6, 10, 81
"/Users/claygiffin/Documents/@the-door/packages/common/src/context/CornerPopupContext.tsx", "TypeScript React", 0, 41, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/claygiffin/Documents/@the-door/packages/common/src/context/LightboxContext.tsx", "TypeScript React", 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 38
"/Users/claygiffin/Documents/@the-door/packages/common/src/context/NavButtonModalContext.tsx", "TypeScript React", 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/Users/claygiffin/Documents/@the-door/packages/common/src/context/NavMenuContext.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 0, 0, 6, 40
"/Users/claygiffin/Documents/@the-door/packages/common/src/context/QueryContext.tsx", "TypeScript React", 0, 66, 0, 0, 0, 0, 0, 0, 0, 7, 73
"/Users/claygiffin/Documents/@the-door/packages/common/src/context/ThemeContext.tsx", "TypeScript React", 0, 35, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/Users/claygiffin/Documents/@the-door/packages/common/src/fonts/_font-face.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 56, 0, 1, 57
"/Users/claygiffin/Documents/@the-door/packages/common/src/hooks/useElementRect.tsx", "TypeScript React", 0, 45, 0, 0, 0, 0, 0, 0, 0, 6, 51
"/Users/claygiffin/Documents/@the-door/packages/common/src/hooks/useEscKeyFunction.tsx", "TypeScript React", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/claygiffin/Documents/@the-door/packages/common/src/hooks/useFocusTrap.tsx", "TypeScript React", 0, 59, 0, 0, 0, 0, 0, 0, 2, 8, 69
"/Users/claygiffin/Documents/@the-door/packages/common/src/hooks/useReadableColor.tsx", "TypeScript React", 0, 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
